Year,LocalAuthority,RecyclingRate,City
2023-24,Birmingham City Council,22.7,Birmingham
2023-24,Brighton and Hove Council,27.4,Brighton
2023-24,Bristol City Council,45.1,Bristol
2023-24,Cambridge City and South Cambs Councils,48.6,Cambridge
2023-24,Leeds City Council MBC,35.3,Leeds
2023-24,Liverpool City Council,19.2,Liverpool
2023-24,Manchester City Council MBC,39.6,Manchester
2023-24,Newcastle-upon-Tyne City Council MBC,25.8,Newcastle
2023-24,Norwich City Council,38.6,Norwich
2023-24,Nottingham City Council,26.7,Nottingham
2023-24,Oxford City Council,48.3,Oxford
2023-24,Sheffield City Council,31.9,Sheffield
2023-24,Cardiff City Council,60.1,Cardiff
2023-24,Glasgow City Council,27.2,Glasgow
2023-24,Edinburgh City Council,40.9,Edinburgh
2023-24,London (average of boroughs),33.0875,London
